date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:20	101873/101873	---M-Z	200	added ('OK')	application/x-javascript	etag:%225f9c6de6cd7d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.0.9	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.mind6ea.js	(from http://davtonia.com/blackcoin/)
00:48:21	45779/45779	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f83a6be6cd7d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.0.9	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.mind6ea.js	(from http://davtonia.com/blackcoin/)
00:48:21	56878/56878	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217b28a0614fd11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/scrollbar-designer/js/jquery.nicescroll.min.js?ver=4.3.3	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/scrollbar-designer/js/jquery.nicescroll.minb523.js	(from http://davtonia.com/blackcoin/)
00:48:22	3038/3038	---M-Z	200	added ('OK')	application/x-javascript	etag:%226f531622cb7d11:0%22	http://davtonia.com/blackcoin/wp-content/themes/x/framework/js/dist/site/x-head.min.js?ver=4.1.1	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/themes/x/framework/js/dist/site/x-head.min0235.js	(from http://davtonia.com/blackcoin/)
00:48:23	34766/34766	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b3337e4cc7d11:0%22	http://davtonia.com/blackcoin/wp-content/plugins/cornerstone/assets/js/dist/site/cs-head.min.js?ver=1.0.6	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/plugins/cornerstone/assets/js/dist/site/cs-head.min0ba6.js	(from http://davtonia.com/blackcoin/)
00:48:23	5555/5555	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2013%20Nov%202015%2020:11:20%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js?ver=4.3.3	C:/My%20Web%20Sites/BlackCoin/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.minb523.js	(from http://davtonia.com/blackcoin/)
00:48:23	1/1	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:52%20GMT	http://davtonia.com/blackcoin/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-admin/admin-ajax.html	(from http://davtonia.com/blackcoin/)
00:48:24	3588/3588	---M--	200	added ('OK')	image/png	etag:%22402812-e04-4de7537781880%22	http://theme.co/x/demo/integrity/1/wp-content/uploads/sites/2/2013/06/bg-integrity-1.png	C:/My%20Web%20Sites/BlackCoin/theme.co/x/demo/integrity/1/wp-content/uploads/sites/2/2013/06/bg-integrity-1.png	(from http://davtonia.com/blackcoin/)
00:48:25	45570/45570	---M--	200	added ('OK')	image/png	etag:%2220c2cb2d8624d11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/Blackcoin-logo-420s.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/Blackcoin-logo-420s.png	(from http://davtonia.com/blackcoin/)
00:48:26	185775/185775	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:54%20GMT	http://davtonia.com/blackcoin/zh/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/zh/index.html	(from http://davtonia.com/blackcoin/)
00:48:27	193398/193398	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:55%20GMT	http://davtonia.com/blackcoin/ru/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/ru/index.html	(from http://davtonia.com/blackcoin/)
00:48:28	187453/187453	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:56%20GMT	http://davtonia.com/blackcoin/es/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/es/index.html	(from http://davtonia.com/blackcoin/)
00:48:29	134091/134091	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:56%20GMT	http://davtonia.com/blackcoin/faq/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/faq/index.html	(from http://davtonia.com/blackcoin/)
00:48:30	131862/131862	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:57%20GMT	http://davtonia.com/blackcoin/community-projects/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/community-projects/index.html	(from http://davtonia.com/blackcoin/)
00:48:32	185342/185342	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2007:47:58%20GMT	http://davtonia.com/blackcoin/en/	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/en/index.html	(from http://davtonia.com/blackcoin/)
00:48:32	157/157	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Apr%202016%2007:47:59%20GMT	http://davtonia.com/blackcoin/?page_id=2229	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/index51f7.html	(from http://davtonia.com/blackcoin/)
00:48:33	172/172	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Apr%202016%2007:48:01%20GMT	http://davtonia.com/blackcoin/?page_id=2127	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/indexb484.html	(from http://davtonia.com/blackcoin/)
00:48:38	54415/54415	---M--	200	added ('OK')	image/jpeg	etag:%22e5f5d218c954d11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/mask_28_opt.jpg	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/mask_28_opt.jpg	(from http://davtonia.com/blackcoin/)
00:48:42	50424/50424	---M--	200	added ('OK')	image/jpeg	etag:%22ada6a0c0cc54d11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/mask_31_opt.jpg	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/mask_31_opt.jpg	(from http://davtonia.com/blackcoin/)
00:48:42	18884/18884	---M--	200	added ('OK')	image/png	etag:%225f6f73c2691ed11:0%22	http://davtonia.com/blackcoin/wp-content/uploads/indeks4.png	C:/My%20Web%20Sites/BlackCoin/davtonia.com/blackcoin/wp-content/uploads/indeks4.png	(from http://davtonia.com/blackcoin/)
